filename,nativeLanguage,fluentLanguage,speakerID,gender,sentenceID,sentence,duration
YORUBA_YORUBA_0230_M_A0194.wav,YORUBA,YORUBA,0230,M,A0194,He drank of the water cautiously.,1.73
YORUBA_YORUBA_0006_M_B0354.wav,YORUBA,YORUBA,0006,M,B0354,It's that much junk.,1.67
YORUBA_YORUBA_0006_M_B0383.wav,YORUBA,YORUBA,0006,M,B0383,A bush chief had died a natural death.,2.96
YORUBA_YORUBA_0048_M_B0151.wav,YORUBA,YORUBA,0048,M,B0151,"It was steel, a fisher trap.",3.13
EDO_OTHERS_0175_F_A0186.wav,EDO,OTHERS,0175,F,A0186,Like a flash he launched himself into the feathered mass of the owl.,4.27
YORUBA_YORUBA_0009_M_A0355.wav,YORUBA,YORUBA,0009,M,A0355,A burst of laughter was his reward.,1.88
IGBO_IGBO_0019_F_A0166.wav,IGBO,IGBO,0019,F,A0166,Two days ago Jeanne learned where her father's men were hiding.,4.42
EDO_IGBO_0122_M_A0154.wav,EDO,IGBO,0122,M,A0154,"He was smooth-shaven, and his hair and eyes were black.",4.92
IGBO_IGBO_0010_M_B0101.wav,IGBO,IGBO,0010,M,B0101,"You're a devil for fighting, and will surely win.",2.38
OTHERS_HAUSA_0076_M_A0022.wav,OTHERS,HAUSA,0076,M,A0022,Hardly were our plans made public before we were met by powerful opposition.,8.45
IGBO_WESTERN_0025_F_A0309.wav,IGBO,WESTERN,0025,F,A0309,"White Leghorns, said Mrs Mortimer.",3.82
IGBO_IGBO_0056_M_A0335.wav,IGBO,IGBO,0056,M,A0335,Red-Eye swung back and forth on the branch farther down.,3.82
IGBO_IGBO_0016_F_A0098.wav,IGBO,IGBO,0016,F,A0098,Shall I carry you.,1.48
YORUBA_YORUBA_0288_M_B0304.wav,YORUBA,YORUBA,0288,M,B0304,His previous wives had never lived long enough to bear him children.,4.67
YORUBA_YORUBA_0024_M_B0150.wav,YORUBA,YORUBA,0024,M,B0150,And he was filled with a strange and foreboding fear.,3.51
YORUBA_YORUBA_0230_M_B0321.wav,YORUBA,YORUBA,0230,M,B0321,"Instead, he arrived on the night of the second day.",3.22
YORUBA_YORUBA_0041_F_B0368.wav,YORUBA,YORUBA,0041,F,B0368,Please do not think that I already know it all.,2.76
YORUBA_YORUBA_0030_M_A0028.wav,YORUBA,YORUBA,0030,M,A0028,"Robbery, bribery, fraud, ",2.92
IGBO_IGBO_0011_M_A0523.wav,IGBO,IGBO,0011,M,A0523,They could not continue their method of producing surpluses.,4.66
YORUBA_YORUBA_0004_F_A0311.wav,YORUBA,YORUBA,0004,F,A0311,"Therefore, hurrah for the game.",2.34
YORUBA_YORUBA_0009_M_A0023.wav,YORUBA,YORUBA,0009,M,A0023,A combination of Canadian capital quickly organized and petitioned for the same privileges.,6.49
YORUBA_YORUBA_0009_M_B0309.wav,YORUBA,YORUBA,0009,M,B0309,Nor was Elam Harnish an exception.,2.42
IGBO_IGBO_0019_F_A0204.wav,IGBO,IGBO,0019,F,A0204,The wolf-dog thrust his gaunt muzzle toward him.,4.40
YORUBA_YORUBA_0041_F_A0095.wav,YORUBA,YORUBA,0041,F,A0095,A big canvas tent was the first thing to come within his vision.,3.84
IGBO_WESTERN_0054_M_B0471.wav,IGBO,WESTERN,0054,M,B0471,"Also a fellow Senator, Chauncey Depew, said.",5.25
YORUBA_YORUBA_0006_M_B0220.wav,YORUBA,YORUBA,0006,M,B0220,"Harry Bancroft, Dave lied.",1.84
